idedomun;IDH_ingpc;;;;;;;;;;;;;;;;;;
13028;8375;;;;;;;;;;;;;;;;;;
13029;8372;;;;;;;;;;;;;;;;;;
13030;9241;;;;;;;;;;;;;;;;;;
13031;8087;;;;;;;;;;;;;;;;;;
13032;5774;;;;;;;;;;;;;;;;;;
13033;5497;;;;;;;;;;;;;;;;;;
13034;5172;;;;;;;;;;;;;;;;;;
13035;7259;;;;;;;;;;;;;;;;;;
13036;8323;;;;;;;;;;;;;;;;;;
13037;5624;;;;;;;;;;;;;;;;;;
13038;7569;;;;;;;;;;;;;;;;;;
13039;11481;;;;;;;;;;;;;;;;;;
13040;3991;;;;;;;;;;;;;;;;;;
13041;9980;;;;;;;;;;;;;;;;;;
13042;8513;;;;;;;;;;;;;;;;;;
13043;4877;;;;;;;;;;;;;;;;;;
13044;6566;;;;;;;;;;;;;;;;;;
13045;7103;;;;;;;;;;;;;;;;;;
13046;5361;;;;;;;;;;;;;;;;;;
13047;5369;;;;;;;;;;;;;;;;;;
13048;21475;;;;;;;;;;;;;;;;;;
13049;5065;;;;;;;;;;;;;;;;;;
13050;11754;;;;;;;;;;;;;;;;;;
13051;21858;;;;;;;;;;;;;;;;;;
13052;9466;;;;;;;;;;;;;;;;;;
13053;5989;;;;;;;;;;;;;;;;;;
13054;9027;;;;;;;;;;;;;;;;;;
13055;5502;;;;;;;;;;;;;;;;;;
13056;13892;;;;;;;;;;;;;;;;;;
13057;6703;;;;;;;;;;;;;;;;;;
13058;8509;;;;;;;;;;;;;;;;;;
13059;6223;;;;;;;;;;;;;;;;;;
13060;4726;;;;;;;;;;;;;;;;;;
13061;14958;;;;;;;;;;;;;;;;;;
13062;3383;;;;;;;;;;;;;;;;;;
13063;13400;;;;;;;;;;;;;;;;;;
13064;7834;;;;;;;;;;;;;;;;;;
13065;8138;;;;;;;;;;;;;;;;;;
13066;8652;;;;;;;;;;;;;;;;;;
13067;9333;;;;;;;;;;;;;;;;;;
13068;4596;;;;;;;;;;;;;;;;;;
13069;17278;;;;;;;;;;;;;;;;;;
13070;9689;;;;;;;;;;;;;;;;;;
13071;5029;;;;;;;;;;;;;;;;;;
13072;12849;;;;;;;;;;;;;;;;;;
13073;4876;;;;;;;;;;;;;;;;;;
13074;10942;;;;;;;;;;;;;;;;;;
13075;10786;;;;;;;;;;;;;;;;;;
13076;12977;;;;;;;;;;;;;;;;;;
13077;11176;;;;;;;;;;;;;;;;;;
13078;3419;;;;;;;;;;;;;;;;;;
13079;5279;;;;;;;;;;;;;;;;;;
13080;3494;;;;;;;;;;;;;;;;;;
13081;9194;;;;;;;;;;;;;;;;;;
13082;10520;;;;;;;;;;;;;;;;;;
13083;9696;;;;;;;;;;;;;;;;;;
13084;8273;;;;;;;;;;;;;;;;;;
14001;8493;;;;;;;;;;;;;;;;;;
14002;17043;;;;;;;;;;;;;;;;;;
14003;11308;;;;;;;;;;;;;;;;;;
14004;9082;;;;;;;;;;;;;;;;;;
14005;11921;;;;;;;;;;;;;;;;;;
14006;10851;;;;;;;;;;;;;;;;;;
14007;9413;;;;;;;;;;;;;;;;;;
14008;9599;;;;;;;;;;;;;;;;;;
14009;11688;;;;;;;;;;;;;;;;;;
14010;6516;;;;;;;;;;;;;;;;;;
14011;6912;;;;;;;;;;;;;;;;;;
14012;9531;;;;;;;;;;;;;;;;;;
14013;9920;;;;;;;;;;;;;;;;;;
14014;9261;;;;;;;;;;;;;;;;;;
14015;15968;;;;;;;;;;;;;;;;;;
14016;7479;;;;;;;;;;;;;;;;;;
14017;7130;;;;;;;;;;;;;;;;;;
14018;9209;;;;;;;;;;;;;;;;;;
14019;5205;;;;;;;;;;;;;;;;;;
14020;7652;;;;;;;;;;;;;;;;;;
14021;9868;;;;;;;;;;;;;;;;;;
14022;10398;;;;;;;;;;;;;;;;;;
14023;22469;;;;;;;;;;;;;;;;;;
14024;10089;;;;;;;;;;;;;;;;;;
14025;12294;;;;;;;;;;;;;;;;;;
14026;7955;;;;;;;;;;;;;;;;;;
14027;4758;;;;;;;;;;;;;;;;;;
14028;9135;;;;;;;;;;;;;;;;;;
14029;6907;;;;;;;;;;;;;;;;;;
14030;11998;;;;;;;;;;;;;;;;;;
14031;4033;;;;;;;;;;;;;;;;;;
14032;7435;;;;;;;;;;;;;;;;;;
14033;8017;;;;;;;;;;;;;;;;;;
14034;11963;;;;;;;;;;;;;;;;;;
14035;8506;;;;;;;;;;;;;;;;;;
14036;9876;;;;;;;;;;;;;;;;;;
14037;11812;;;;;;;;;;;;;;;;;;
14038;7967;;;;;;;;;;;;;;;;;;
14039;21783;;;;;;;;;;;;;;;;;;
14040;7817;;;;;;;;;;;;;;;;;;
14041;9782;;;;;;;;;;;;;;;;;;
14042;8675;;;;;;;;;;;;;;;;;;
14043;10334;;;;;;;;;;;;;;;;;;
14044;12953;;;;;;;;;;;;;;;;;;
